Facility Name,Sport,Skill Level,Location,Time Availability,Budget,Indoor/Outdoor,Group/Individual,Competitive/Recreational,Special Equipment,Accessibility
Club Atlético Defensores de Belgrano,Soccer,All Levels,Núñez,All Day,Moderate,Both,Group/Individual,Competitive/Recreational,Equipment rental,Yes
Club Atlético Atlanta,Soccer,All Levels,Villa Crespo,All Day,Moderate,Both,Group/Individual,Competitive/Recreational,Equipment rental,Yes
Club Atlético Excursionistas,Soccer,All Levels,Belgrano,All Day,Moderate,Both,Group/Individual,Competitive/Recreational,Equipment rental,Yes
Club Atlético Barracas Central,Soccer,All Levels,Barracas,All Day,Moderate,Both,Group/Individual,Competitive/Recreational,Equipment rental,Yes
Club Deportivo Español,Soccer,All Levels,Parque Chacabuco,All Day,Moderate,Both,Group/Individual,Competitive/Recreational,Equipment rental,Yes
Club Atlético Brown de Adrogué,Soccer,All Levels,Adrogué,All Day,Moderate,Both,Group/Individual,Competitive/Recreational,Equipment rental,Yes
Asociación Argentina de Tenis,Tennis,All Levels,Palermo,All Day,Moderate,Outdoor,Group/Individual,Competitive/Recreational,Equipment rental,Yes
Club de Gimnasia y Esgrima La Plata,Various Sports,All Levels,La Plata,All Day,Moderate,Indoor/Outdoor,Group/Individual,Competitive/Recreational,Equipment rental,Yes
Club Atlético Estudiantes de La Plata,Various Sports,All Levels,La Plata,All Day,Moderate,Indoor/Outdoor,Group/Individual,Competitive/Recreational,Equipment rental,Yes
Club Ciudad de Campana,Various Sports,All Levels,Campana,All Day,Moderate,Indoor/Outdoor,Group/Individual,Competitive/Recreational,Equipment rental,Yes
Club Atlético Pilar,Various Sports,All Levels,Pilar,All Day,Moderate,Indoor/Outdoor,Group/Individual,Competitive/Recreational,Equipment rental,Yes
Club Atlético San Miguel,Various Sports,All Levels,San Miguel,All Day,Moderate,Indoor/Outdoor,Group/Individual,Competitive/Recreational,Equipment rental,Yes
Club Atlético Ituzaingó,Soccer,All Levels,Ituzaingó,All Day,Moderate,Both,Group/Individual,Competitive/Recreational,Equipment rental,Yes
Club Atlético Atlanta,Rugby,All Levels,Villa Crespo,All Day,Moderate,Outdoor,Group/Individual,Competitive/Recreational,Equipment rental,Yes
Campo Argentino de Polo,Polo,All Levels,Palermo,All Day,High-end,Outdoor,Group/Individual,Competitive/Recreational,Equipment rental,Yes
Club Hípico Argentino,Equestrian,All Levels,Palermo,All Day,High-end,Indoor/Outdoor,Group/Individual,Competitive/Recreational,Equipment rental,Yes
